,xrsa,xrsb
2017-09-07 12:43:00,1.0296591e-07,2.6737318e-06
2017-09-07 12:44:00,9.5204044e-08,2.5709949e-06
2017-09-07 12:45:00,8.398543e-08,2.4780259e-06
2017-09-07 12:46:00,7.917096e-08,2.413007e-06
2017-09-07 12:47:00,7.614905e-08,2.3798052e-06
2017-09-07 12:48:00,7.126796e-08,2.3422776e-06
2017-09-07 12:49:00,6.963286e-08,2.298978e-06
2017-09-07 12:50:00,8.062438e-08,2.3729053e-06
2017-09-07 12:51:00,9.9506785e-08,2.497229e-06
2017-09-07 12:52:00,1.02380326e-07,2.568871e-06
2017-09-07 12:53:00,8.802776e-08,2.4564827e-06
2017-09-07 12:54:00,7.7817454e-08,2.3517039e-06
2017-09-07 12:55:00,8.230491e-08,2.3627827e-06
2017-09-07 12:56:00,6.9087825e-08,2.2712888e-06
2017-09-07 12:57:00,5.859592e-08,2.1542287e-06
2017-09-07 12:58:00,5.7928254e-08,2.1295275e-06
2017-09-07 12:59:00,7.140422e-08,2.1720082e-06
2017-09-07 13:00:00,6.945118e-08,2.1665576e-06
2017-09-07 13:01:00,6.122117e-08,2.1039352e-06
2017-09-07 13:02:00,5.768753e-08,2.0275647e-06
